crn,dept,course_id,instructor,title,modality,credits,capacity,days,start_time,end_time,location
85267,ESM,ESM 3064,B Aidi,Mech Behavior Matls Lab,F2F,1,14,M,2:00PM,4:45PM,NOR 127
85268,ESM,ESM 3064,CL Galitz,Mech Behavior Matls Lab,F2F,1,0,R,11:00AM,1:50PM,NOR 127
85269,ESM,ESM 3064,B Aidi,Mech Behavior Matls Lab,F2F,1,12,W,2:00PM,4:45PM,NOR 127
85270,ESM,ESM 3124,T Chang,Dyn II Analytical & 3-D Motion,F2F,3,40,M W F,11:15AM,12:05PM,MCB 240
85271,ESM,ESM 3234,AE Staples,Fluid Mech I-Control Volumes,F2F,3,84,M W F,1:25PM,2:15PM,GOODW 125
85272,ESM,ESM 3704,JK Lord,Basic Principles of Structures,F2F,3,200,M W F,10:10AM,11:00AM,TORG 2150
85273,ESM,ESM 4044,SW Case,Mechanics Composite Materials,F2F,3,60,M W F,10:10AM,11:00AM,WLH 340
85276,ESM,ESM 4194,MW Ellis,Sustainable Energy Solutions,F2F,3,75,T R,9:30AM,10:45AM,WLH 350
85277,ESM,ESM 4204,SL Arena,Musculoskeletal Biomechanics,F2F,3,25,M W F,11:15AM,12:05PM,GOODW 244
91550,ESM,ESM 4246,Staff,Mechanics of Animal Locomotion,F2F,3,20,M W,4:00PM,5:15PM,USLB 210
85278,ESM,ESM 4734,JS Wayne,Intro Finite Elements,F2F,3,75,M W F,9:05AM,9:55AM,WLH 350
85283,ESM,ESM 5014,MA Stremler,Intro Continuum Mech,F2F,3,30,T R,8:00AM,9:15AM,MCB 226
85284,ESM,ESM 5014,MA Stremler,Intro Continuum Mech,OnlineSync,3,0,T R,8:00AM,9:15AM,ONLINE
85285,ESM,ESM 5044G,SW Case,Adv Mech Composite Materials,F2F,3,15,M W F,10:10AM,11:00AM,WLH 340
91118,ESM,ESM 5124,R De Vita,Theory of Elasticity,F2F,3,40,M W,2:30PM,3:45PM,WHIT 349
85286,ESM,ESM 5224,SL Arena,Adv Musculoskeletal Biomech,F2F,3,6,M W F,11:15AM,12:05PM,GOODW 244
91551,ESM,ESM 5246G,Staff,Mechanics Animal Locomotion,F2F,3,5,M W,4:00PM,5:15PM,USLB 210
85289,ESM,ESM 5314,S Tahmasian,Intermediate Dynamics,F2F,3,33,T R,9:30AM,10:45AM,MCB 226
90730,ESM,ESM 5514,MA Stremler,Viscous Flow,F2F,3,15,M W,4:00PM,5:15PM,MCB 219
85290,ESM,ESM 5734,RC Batra,Intro Finite Elements,F2F,3,30,M W F,11:15AM,12:05PM,HUTCH 207
85292,ESM,ESM 5894,Staff,Final Examination,F2F,3,9999,(ARR),(ARR),(ARR),00X
85294,ESM,ESM 5944,JP Domann,Seminar,F2F,1,95,W,2:30PM,3:45PM,MCB 113
90737,ESM,ESM 6314,SD Ross,Advanced Dynamics,F2F,3,20,T R,2:00PM,3:15PM,MCB 322
91664,ESM,ESM 6314,Staff,Advanced Dynamics,OnlineAsync,3,0,(ARR),(ARR),(ARR),00X
85370,FIN,FIN 2114,EH Wikle,Invest & Financial Literacy,F2F,3,48,T R,11:00AM,12:15PM,ROB 112
85371,FIN,FIN 2114,DW Anderson,Invest & Financial Literacy,F2F,3,60,M W,4:00PM,5:15PM,SEITZ 300
85372,FIN,FIN 2114,EH Wikle,Invest & Financial Literacy,F2F,3,60,T R,2:00PM,3:15PM,WMS 220
85373,FIN,FIN 2114,Staff,Invest & Financial Literacy,F2F,3,60,T R,3:30PM,4:45PM,DER 3083
91186,FIN,FIN 2114,Staff,Invest & Financial Literacy,F2F,3,0,T R,3:30PM,4:45PM,HITT 340
85374,FIN,FIN 2164,MT Kender,Survey of Finance and Careers,F2F,1,60,W,1:25PM,2:15PM,WMS 220
85375,FIN,FIN 2164,MT Kender,Survey of Finance and Careers,F2F,1,60,W,12:20PM,1:10PM,DDS 220
85376,FIN,FIN 2164,EH Wikle,Survey of Finance and Careers,F2F,1,60,M,11:15AM,12:05PM,DDS 220
85377,FIN,FIN 2164,EH Wikle,Survey of Finance and Careers,F2F,1,60,M,1:25PM,2:15PM,WMS 220
85378,FIN,FIN 2164,EH Wikle,Survey of Finance and Careers,F2F,1,60,M,12:20PM,1:10PM,DDS 220
85380,FIN,FIN 3054,KM Fleenor,Legal & Ethical Env of Bus,F2F,3,120,M W,4:00PM,5:15PM,DDS 130
85381,FIN,FIN 3054,JT Showalter,Legal & Ethical Env of Bus,F2F,3,125,M W,4:00PM,5:15PM,ROB 210
85382,FIN,FIN 3054,A Price,Legal & Ethical Env of Bus,F2F,3,120,T R,9:30AM,10:45AM,DDS 130
85383,FIN,FIN 3054,JB Malone,Legal & Ethical Env of Bus,F2F,3,120,T R,9:30AM,10:45AM,DDS 230
85384,FIN,FIN 3054,JB Malone,Legal & Ethical Env of Bus,F2F,3,125,T R,11:00AM,12:15PM,SURGE 104C
