crn,course,title,schedule_type,modality,cr_hrs,capacity,instructor,days,start_time,end_time,location,exam
80190,ACIS-5444,Forensic & Investigative Acctg,L,Face-to-Face Instruction,3,8,NA Rogers,M W,2:30PM,3:45PM,PAM 2003,14M
80191,ACIS-5444,Forensic & Investigative Acctg,L,Face-to-Face Instruction,3,8,NA Rogers,M W,4:00PM,5:15PM,PAM 2003,16M
80192,ACIS-5504,Sys/Database Concepts,ONLINE COURSE - VL,Online: Asynchronous,3,150,SD Sheetz,(ARR),----- (ARR) -----,ONLINE,00X,
80193,ACIS-5524,Adv Database Mgt Sys,ONLINE COURSE - VL,Online: Asynchronous,3,50,SD Sheetz,(ARR),----- (ARR) -----,ONLINE,00X,
80194,ACIS-5604,Accounting Fundamentals,ONLINE COURSE - VL,Online with Synchronous Mtgs.,2,40,S Bhattacharjee,F S,----- (ARR) -----,ONLINE,00X,
80195,ACIS-5654G,Advanced Accounting Analytics,L,Face-to-Face Instruction,3,3,JL Shortt,T R,12:30PM,1:45PM,TORG 1010,12T
80196,ACIS-5654G,Advanced Accounting Analytics,L,Face-to-Face Instruction,3,3,JL Shortt,T R,9:30AM,10:45AM,DDS 180,09T
80197,ACIS-5974,Independent Study,I,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
80198,ACIS-5974,Independent Study,I,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
80199,ACIS-5974,Independent Study,I,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
80200,ACIS-5974,Independent Study,I,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
80203,ACIS-5994,Research And Thesis,R,,1 TO 19,9999,LG Wallace,(ARR),----- (ARR) -----,TBA,00X,
80204,ACIS-6004,ACIS Research Methods,L,Face-to-Face Instruction,3,10,SE Stein,M,3:00PM,5:45PM,TBA,15M
80205,ACIS-6044,Archival Audit Research,L,Face-to-Face Instruction,3,10,JA Pittman,T R,3:30PM,4:45PM,GYM 347,15T
80206,ACIS-7994,Research And Dissertation,R,,1 TO 19,9999,SE Stein,(ARR),----- (ARR) -----,TBA,00X,
90764,ADV-2034,Visual Comm Strategies,L,Face-to-Face Instruction,3,20,JM Woolly,M W,4:00PM,5:15PM,MAC 157,16M
90767,ADV-2034,Visual Comm Strategies,L,Face-to-Face Instruction,3,20,CC Spiller,M W,2:30PM,3:45PM,SHANK 160,14M
80209,ADV-2134,Intro to Health Communication,L,Face-to-Face Instruction,3,60,A Holz,T R,11:00AM,12:15PM,TBA,11T
80210,ADV-2134,Intro to Health Communication,L,Face-to-Face Instruction,3,50,A Holz,T R,12:30PM,1:45PM,TORG 1040,12T
80211,ADV-3004,Ad Writing and Storytelling,L,Face-to-Face Instruction,3,20,JR Combs,T R,5:00PM,6:15PM,MCB 212,17T
80212,ADV-3014,Ad Planning & Media Buying,L,Face-to-Face Instruction,3,20,BS Timofeev,M W,5:30PM,6:45PM,MCB 212,17M
80213,ADV-3024,Ad Ethics & Soc Responsibility,L,Face-to-Face Instruction,3,49,JR Combs,M W,4:00PM,5:15PM,MCB 126,16M
80214,AFST-1714,Intro African American Studies,L,Face-to-Face Instruction,3,30,A Jones,T R,12:30PM,1:45PM,DER 1084,12T
80215,AFST-1714,Intro African American Studies,L,Face-to-Face Instruction,3,30,A Jones,T R,9:30AM,10:45AM,MCB 322,09T
80216,AFST-1714,Intro African American Studies,L,Face-to-Face Instruction,3,0,K Spivey,T R,2:00PM,3:15PM,MCB 129,14T
90991,AFST-1714,Intro African American Studies,L,Face-to-Face Instruction,3,30,A Jones,T R,3:30PM,4:45PM,MCB 226,15T
91788,AFST-1714,Intro African American Studies,ONLINE COURSE - VL,Online: Asynchronous,3,50,P Seniors,(ARR),----- (ARR) -----,ONLINE,00X,
80222,AFST-1814,Intro to African Studies,L,Face-to-Face Instruction,3,50,PS Polanah,M W F,11:15AM,12:05PM,TORG 1020,11M
80224,AFST-1814,Intro to African Studies,L,Face-to-Face Instruction,3,30,O Agozino,T R,9:30AM,10:45AM,MCB 328,09T
80223,AFST-1814,Intro to African Studies,ONLINE COURSE - VL,Online: Asynchronous,3,0,ED Mthethwa,(ARR),----- (ARR) -----,ONLINE,00X,
90859,AFST-2144,African Religions,L,Face-to-Face Instruction,3,40,Staff,T R,11:00AM,12:15PM,HUTCH 204,11T
90903,AFST-2204,Race & Gender in Rel & Cult,L,Face-to-Face Instruction,3,40,Staff,M W F,12:20PM,1:10PM,NCB 130B,12M
80226,AFST-2264,Race Class Gender Sexualities,L,Face-to-Face Instruction,3,40,KK Dhillon-Jamerson,M W F,12:20PM,1:10PM,MCB 238,12M
80227,AFST-2276,African-American History,L,Face-to-Face Instruction,3,40,D Halpin,M W F,11:15AM,12:05PM,HOLD 244,11M
